id,label,text
1001112_1,YES,"""guys... this is so stupid..."""
1001112_2,YES,"""I lost the whole morning cause HBase's RegionServer was dying with no logs, no nothing... how Am I supposed to debug the issue if u do not even generate a core dump?"""
1014872_16,YES,"""{quote}You are messing down deep below hbase in dfs."""
1017556_1,YES,"""And I think if we're going to do a sweep up of shit, we should just kill root."""
1024843_1,YES,"""@idiot Yeah, I was on that idiot-path for a good while but commons-lang is a hairball, at least where this hashcode making and equals is concerned."""
1027161_2,YES,"""Pull it back in if you think different."""
1029542_1,YES,"""i suck."""
1031984_8,YES,"""Will still be stuck in the loop though if can't actually close regions."""
1037141_1,YES,"""Original edited patch was messed up... stupid sed!"""
1078380_2,YES,"""Who made this stupid rule?"""
1078380_4,YES,"""Sorry but this is just stupid."""
1078538_5,YES,"""But I will quit committing to Hama then, because I'm not going to support ONLY a binary format."""
1078538_6,YES,"""This is not what I build a framework for."""
1099350_1,YES,"""Well, damn."""
1099350_2,YES,"""Blooper after blooper - I hate SVN."""
1182528_1,YES,"""This looks reasonable to me... sucks we have to special case handling of "" ""..."""
1189898_14,YES,"""You may want to carefully examine your assumption about this."""
1217410_1,YES,"""Ok, wow, welcome to Linux hell..."""
130806_2,YES,"""If I get a chance I may even roll it into our dev environment but I am currently in the middle of mem leak hell."""
1324648_2,YES,"""Both equally bad."""
132669_1,YES,"""Negative, I am against fetch groups in principle."""
132669_2,YES,"""This way lies metadata hell."""
1340869_1,YES,"""Shit, there is an dependency. Please go to Preferences -> LDAP -> Entry Editor and enable the option ""Show operational attributes""."""
1342186_1,YES,"""Damn..."""
1342658_1,YES,"""Damn..."""
1345883_1,YES,"""Damn !"""
1345883_2,YES,"""The evil NPE strik back !!"""
1346179_1,YES,"""Bloody hell !!!"""
1348495_1,YES,"""Damn time has flown..."""
1352960_2,YES,"""Damn it !"""
137361_2,YES,"""This was a very bad bug, introduced by me being an idiot."""
1394769_2,NO,"""I did try some variations as well, and I have to say I only got confused."""
1398734_5,YES,"""I have stupidly deleted the original test dir, but judging from the suite's output files, no output was created after 3 1/2 hours."""
1429235_1,YES,"""damn this was assigned to you since months."""
1429746_4,YES,"""Imo all this just doesn't make sense from a pure performance aspect."""
1455895_1,NO,"""Confused about this."""
1462480_1,YES,"""Inserting timestamps automagically would be bad because it would limit a whole swath of use cases."""
1471209_2,YES,"""If they do then Suse's cpio works for old ascii but the -c switch is broken."""
150393_2,YES,"""This is pretty embarassing!"""
1524565_2,YES,"""When you install a node module globally it goes into /usr/local where you don't have permissions to move shit into unless you sudo."""
1537069_6,YES,"""That being said, I'm not totally opposed to making the limit configurable."""
1547189_1,YES,"""My bad, I screwed up the assertion -> RuntimeException transition."""
1550511_1,YES,"""Well, that sucks."""
1553094_6,YES,"""No, it's not off the table, but it's moot unless we decide we want cqlsh in-tree at all."""
155457_1,YES,"""Ok here is a patch that works. I was stupid enough not to see it..."""
