id,label,text
581894_1,NO,"""[~bmahler], it looks like this can be closed since the Python UI is gone."""
581894_2,NO,"""Is that true?"""
1954699_1,NO,"""seems this is a CDK issue"""
2389859_1,NO,"""Mladen, any progress please?"""
2389859_2,NO,"""I am transfering my issues so I want to know the current status."""
2099735_1,NO,"""Thanks for reporting."""
2099735_2,NO,"""Fixed on the master (0d43528e) and the 1.6 (9affb57a)."""
1007616_2,NO,"""or someother version?"""
1014746_1,NO,"""ThriftServer.java and Hbase.thrift patched manually, the other files generated using thrift-0.2.0"""
1526597_1,NO,"""I drafted a small benchmark (so far only for android) to demonstrate the issue."""
1202770_1,YES,"""> - FOUserAgent.getStream() is cool and very easy to use (now that it's properly > documented)."""
2042158_1,NO,"""Does it solve your issue ?"""
1394527_1,NO,"""I'll see if I can arrange for the manifest to contain bundle-manifestVersion. """
2464241_1,NO,"""Pushing non-critical issues to the next CR2."""
391418_1,YES,"""i kinda like the black acctually .. but that may largely be due to my prefering the ""fire"" solr logo over the futuristic magnifying glass (the red/orange contrasts nicely with the black/grey.  to my mind, the ""Solr"" ""Sun"" connection has allways been really cool ... """
2464241_2,NO,"""If you think they are critical for CR1, please re-schedule them."""
1045715_1,NO,"""Issue is reproducible at least on Debian 32bit and SLES 10 64bit."""
1016156_1,YES,"""Awesome discussion."""
2355183_1,NO,"""So, I also can say ""this is not yield keyword specific problem""."""
2355183_2,NO,"""Thank you for reviewing."""
1910259_1,NO,"""fixed in revision 478248"""
1878268_1,NO,"""pushed"""
2016201_1,NO,"""Supported by external project"""
696242_1,NO,"""And in that case, the first argument could also be changed from OpenBitSetDISI to OpenBitSet."""
423201_1,NO,"""Until there will be _real_ need of adding new Monoid implementations, I would suggest to postpone the problem and keep *your* version of the patch."""
423201_2,NO,"""Let's fight with the right weapons when we need, I wouldn't use a katana to kill a fly (unless I am Bruce Willis and I'm in Pulp Fiction :P)  best and thanks!"""
1920135_1,NO,"""No issue found after noting how it's invoked."""
501431_1,NO,"""And interestingly suddenly this is moved from MAPREDUCE to OOZIE."""
1080884_1,NO,"""Running patch through hudson."""
829006_1,YES,"""Got it, thanks for the explanation."""
432408_1,NO,"""A new issue (https://issues.apache.org/jira/browse/RAMPARTC-140) is created for implementing SupportingToken assertion."""
962692_1,NO,"""v1 fixes the nit"""
470394_1,NO,"""Patch committed."""
470394_2,NO,"""Thanks Ankit!"""
1358709_1,NO,"""Thanks for the patch, Kim."""
1358709_2,NO,"""I will look at those remaining references to NATIVE::LOCAL in the error messages."""
1358709_3,YES,"""The patch looks good."""
1358709_4,NO,"""I tripped across one puzzling sentence, but it wasn't something that you changed: In the second, longer paragraph of the BUILTIN bullet, we recommend LDAP and user-supplied schemes as alternatives to BUILTIN, but we don't recommend NATIVE."""
1358709_5,NO,"""Did we decide to not recommend NATIVE here or should this be adjusted to include it beside the other safe schemes?"""
1358709_6,NO,"""Thanks."""
2415951_1,NO,"""It could be that this has been resolved already (elsewhere)."""
1589002_1,NO,"""See attached patch."""
1589002_2,NO,"""I'll add docs in Confluence if the example is integrated in Camel's codebase."""
1347060_1,NO,"""Closing all issues created in 2005 and before which are marked resolved"""
1353385_1,NO,"""APIs doc is outdated - thanks"""
1326896_1,NO,"""I have committed a fix for this, please close if you are satisfied."""
1326896_2,NO,"""Thanks."""
1034440_1,YES,"""Cool cool - thanks stack!"""
1125251_1,YES,"""Awesome! This tool is cool."""
924046_2,NO,"""What % of clients do think were stuck like this?"""
954497_2,NO,"""Mind adding your test run results in here?"""
954497_3,NO,"""QA test result is recorded above."""
2483856_1,NO,"""Closing, works like charm now."""
2483856_2,YES,"""Thanks guys for saving mankind!"""
2332982_1,YES,"""This looks safe also"""
368838_1,NO,"""Stefan: are you sure you had a clean build with my patch applied?"""
2095235_1,NO,"""Please follow up on the forum: http://www.jboss.com/index.html?module=bb&op=viewtopic&p=4178893#4178893"""
2006746_1,NO,"""suggested for 3.1.1"""
876443_1,NO,"""Might want to correct the misspelling: *remvoed* AllFromInodesFromMap :)"""
411954_1,NO,"""Thank you very much Les."""
411954_2,YES,"""I've just tested the shiro trunk with karaf-2.2 release and everything works fine :)"""
2114393_1,YES,"""Pretty sure this was fixed by the time we released JRuby 1.6."""
310717_1,NO,"""This patch looks pretty good."""
310717_2,NO,"""I think we should apply it.   """
2369355_1,NO,"""Moved to GA."""
2449525_1,NO,"""This appears to be a issue with Hibernate (the default JPA implementation in JBoss AS) rather than a EJB3 issue. """
614426_2,NO,"""Fixed the MAPREDUCE-3028 commit which broke MR1."""
614426_3,NO,"""Contributed by Hitesh Shah."""
1836807_1,YES,"""Interesting, I just replaced my src with the latest in the trunk and did a compleatly clean build and the problem seems to have gone away."""
1836807_2,NO,"""I'll close the ticket as it looks like a non-issue."""
861953_2,NO,"""* it is impossible to name a column 1 * it is impossible to name a column alias 1  If order by supports this I do not see group by can't?"""
861953_3,NO,"""Do we want to reconsider this?I kinda like the feature. """
2047189_1,NO,"""no POM provided here"""
364849_1,YES,"""This is Awesome Stefan - thanks a million!"""
242158_1,YES,"""This is awesome - works in a one-liner. """
411660_2,NO,"""I resolved the issue via Spring."""
1338828_1,NO,"""This is a screenshot from 1.5.3 and that is how I would expect the Directory Studio to behave."""
1675900_1,NO,"""Harsh, will you have a chance to work on a test for this?"""
1675900_2,NO,"""Please tell me if you'd like me to help."""
2220965_1,NO,"""Misty,  Can you move JBPAPP-7480 to bz and then cross reference the bz number in this Jira and close this one?"""
2220965_2,NO,"""Thanks,  Mike"""
1546239_1,NO,"""v3 rewritten to be lots more explicit and save the vendor, arch, and version numbers for later code to use."""
1577629_2,NO,"""patch by johano; reviewed by jbellis for  """
666093_1,YES,"""Awesome!"""
